formid;name;werkjahr;jahrgang;titel;art;descr;web;dauer;rechte;lizenz;img1;img2;img3
115;"Nadine  Seeger";2017;(1960);"Abbondio Variationen";Kunstvideo;"Abbondio Variationen

Vokalperformance

In mehreren Variationen sieht man die täglich entstandenen Kurzperformances inmitten eines grossen Atelierraumes. Überall liegen Bilder und Skizzen verstreut herum. Jeder Tag zeigt eine kleine Veränderung im Raum, in dem ich performe. Bild- und Performance- Urheberin bin ich selber.
Meine Performance  besteht in der  freien Improvisation mit Stimme und Bewegung. Sie reagiert unmittelbar auf Impulse von aussen und innen und setzt sie sogleich gestalterisch um.
Neun davon habe ich ausgewählt und aneinandergereiht. Entstanden ist der Film ABBONIO VARIATIONEN. Der Name bezieht sich auf den Atelieraufenthalt 2016 im Atelier Bick, der Fondazione Bick.";www.nadine-seeger.ch;18:56;internet;cc-by;cat/115.00008.med.png;cat/115.00015.med.png;cat/115.00022.med.png
116;"monsieur  andreasschneider";2017;(1969);"Hold on to our free way of life";Installation;"Das Video Hold on to our free way of life zeigt eine politische wie humanitäre Dimension von Grenzlinien. Vor einer undefinierten, verlassenen und überwucherten Grenzsituation läuft ein Zählwerk von 0 auf 900'000. Die hier gezeigte Barriere teilt das Bild in ein grünes Diesseits und ein karges Jenseits. Die Ziffernabfolge verdeckt eine ehemalige elektronische Zugangskontrolle. Es wirkt fast, als stehe der Betrachter vor dem Ausgang eines Paradieses. Stunde um Stunde läuft das Zahlenband und erinnert uns an Tragik von zahlreichen Menschen auf der Flucht vor Krieg und Elend, was uns hier anhand von einer simplen Statistik vor Augen geführt wird.";www.andreasschneider.name;01:00;internet;cc-by;cat/116.00008.med.png;cat/116.00015.med.png;cat/116.00022.med.png
117;"Kuesti  Fraun";2016;(1976);"Smarter User";Essayfilm;"Ein Gebet an die neuen Götter der permanenten Erreichbarkeit";www.facebook.com/mobtik;00:45;;cc-by;cat/117.00011.med.png;cat/117.00021.med.png;cat/117.00031.med.png
118;"Kuesti  Fraun";2015;(1976);"SO DA DÜSSELDORF";Essayfilm;"in all der Dunkelheit gibt es auch Licht - eine experimentelle Kurzdokumentation über den Themenkomplex von öffentlichen Raum, Besitz und öffentlicher Kunst";www.facebook.com/mobtik;03:04;;cc-by;cat/118.00009.med.png;cat/118.00017.med.png;cat/118.00025.med.png
119;"Kuesti  Fraun";2015;(1976);EFFORT;"Handy Video";"Es gibt immer einen Weg";www.facebook.com/mobtik;01:00;;cc-by;cat/119.00008.med.png;cat/119.00015.med.png;cat/119.00022.med.png
120;"Matthias  Aeberli";2017;(1952);"Daumenkino ";Kunstvideo;"über Bilder, mit Bildern";matthiasaeberli.ch;21:05;internet;cc-by;cat/120.00008.med.png;cat/120.00015.med.png;cat/120.00022.med.png
121;"Sabine  Huber";2016;(1958);"Water & Stone 1";Kunstvideo;"Freie Saxofonimprovisation vor Landschaft; farblich stark verändert";sabinehuber.ch;5:03;;cc-by;cat/121.00008.med.png;cat/121.00015.med.png;cat/121.00022.med.png
124;"Sibilla  Caflisch";2016;(1979);Passages;Kunstvideo;"Ausgangspunkt vieler Videoarbeiten ist ein Abschreiten des Ausstellungsraumes oder seiner näheren Umgebung. Dabei beeinflusst mein Gehen den späteren Rhythmus der bewegten Bilder. Für dieses Video wurde das Gehen und Schreiten anderer Leute im Stadtraum gefilmt. Durch Überlagerung mit Lichtern vorbeifahrender Autos aus einer anderen Aufnahme ergeben sich vielfältige Rhythmen, die in Bezug gesetzt werden zur Musik.";scaflisch.com;2:28;hochschulnetz;cc-by;cat/124.00008.med.png;cat/124.00015.med.png;cat/124.00022.med.png
126;"Sibilla  Caflisch";2016;(1979);Pas;Kunstvideo;"Dieselben Videoaufnahmen, auf denen die Arbeit „Passages“ basiert, wurden für dieses Video verwendet. Durch Bearbeitung und Veränderung des Mateials wie beispielsweise der starken Verlangsamung und Reduktion auf schwarzweiss entsteht eine gänzlich verschiedenartige Wirkung. Die Musik ist eine von David Sontòn Ca isch vorgenommene Bearbeitung der Komposition „Hox“, welche bereits in einer anderen Version für die Arbeit „Passages“ verwendet wurde. Insofern wäre es durchaus gewünscht, die beiden Werke „Passages“ sowie „Pas“ gemeinsam zu präsentieren.
Die Wechselwirkung zwischen Bild und Musik, das Beein ussen und Verändern einer Atmosphäre durch Musik interessieren mich in dieser Arbeit.";scaflisch.com;10:08;hochschulnetz;cc-by;cat/126.00008.med.png;cat/126.00015.med.png;cat/126.00022.med.png
127;"Sibilla  Caflisch";2017;(1979);exposure;Kunstvideo;"Ge lmt wurde das Ausgangsmaterial für diese Arbeit während einer Zugfahrt. Es handelt sich um die Re exion einer Film- oder TV-Szene, welche von einem Sitznach- barn am Computer geschaut wurde und sich in der Zugscheibe spiegelte. Durch die Doppelverglasung erscheinen die Protagonisten zweifach im Bild. Durch Über- belichtung des Videomaterials werden einige Details ausgeblendet, so dass der Fokus verstärkt auf den Protagonisten liegt. Obwohl der Originalton vom Gespräch fehlt, scheint es sich um einen Dialog zwischen Komissar und Verdächtigtem zu handeln. Dabei wird sein Betrug - dass er in Wahrheit rechts- und nicht linkshändig schreibt, aufgedeckt. Der englische Titel bezieht sich auf die Überbelichtung des Ausgangsmaterials wie auf die Entlarvung in der Szene.";scaflisch.com;5:31;hochschulnetz;cc-by;cat/127.00008.med.png;cat/127.00015.med.png;cat/127.00022.med.png
128;"Sibilla  Caflisch";2017;(1979);Horizonte;Kunstvideo;"Durch Bearbeiten und Spielgeln der Horizontlinie erscheint die Landschaft geprägt durch parallele Streifen, die sich immer wieder annähern und voneinander entfer- nen. Schliesslich verändert sich der Landstrich zur Bergkette, die sich immer mehr annähert und schliesslich überlagert. Das traditionelle Genre des Landschaftsbildes wird ins zeitbasierte Medium übertragen. Die Veränderung der Natur ist sichtbar und zeitlich erfahrbar, gleichzeitig wird das künstlichen Arrangement hervorgehoben unter anderem durch Symmetrie.";scaflisch.com;3:40;hochschulnetz;cc-by;cat/128.00008.med.png;cat/128.00015.med.png;cat/128.00022.med.png
130;"Sibilla  Caflisch";2017;(1979);Barock;Kunstvideo;"Die im Video gezeigten Barockarchitekturen wurden nicht vor Ort aufgenommen, sondern entstammen dem Bildband „Deutscher Barock“ von Wilhelm Pinder. Aus dem Bildband wurden einzelne Bildseiten herausgetrennt und zu einem langen Bild zusammengestellt, über welches die Kamera langsam entlanggleitet. Die unter- schiedlichen Gebäudeinnenräume wie Kirchen und Paläste werden dabei zu einem nicht mehr klar zu trennenden Gesamtbau. In nachträglicher Bearbeitung wurde das Video abgedunkelt, was an eine Ästhetik alter Horror lme erinnern mag.
Erst nachträgliche Recherchen zeigten, dass der deutsche Kunsthistoriker Pinder nationalsozialistische und antisemitische Ideologien befürwortete und schon vor Beginn des Naziregimes eine nationalistisch geprägte Sicht auf die Kunstgeschichte vertreten hatte. Vor diesem Hintergrund verändert sich die Wahrnehmung auf das Werk um eine weitere Interpretationsmöglichkeit.";scaflisch.com;2:19;hochschulnetz;cc-by;cat/130.00008.med.png;cat/130.00015.med.png;cat/130.00022.med.png
132;"Sibilla  Caflisch";2017;(1979);"Nr. 173";Kunstvideo;"Das stark veränderte Ausgangsmaterial erscheint abstrakt und dadurch lässt es Assoziationen ganz unterschiedlicher Art zu. Durch Spiegelung und Verdoppelung sowie partiellem Umkehren entstehen Strukturen, die sich gegen oder miteinander in konstant bleibender Bewegung zeigen.";scaflisch.com;1:45;hochschulnetz;cc-by;cat/132.00009.med.png;cat/132.00017.med.png;cat/132.00025.med.png
133;"Philip  Ortelli";2017;(1991);"imagine a sculpture";Kunstvideo;"Philip Ortellis Video erzählt von der Mobilität audiovisuellen Materials auf verschiedenen Ebenen und Zeitachsen sowie in verschiedenen Räumen. Wie definiert sich der Raum der von der Kunst eingenommen wird? Was ist Innen und Aussen, was liegt dazwischen und ab wann wird ein Werk obsolet? Ein Spaziergang und ein Flirt mit Kunstschaffenden aus der Public Domain und mit Heideggers Aufsatz ""Die Kunst und der Raum"".";philiportelli.com;17:12;internet;cc-by;cat/133.00008.med.png;cat/133.00015.med.png;cat/133.00022.med.png
138;"Elisabeth  Ritschard";2017;(1960);Sunset;Animation;"Die Animation Sunset spielt mit Illusionen. Wir suchen nach Bildbedeutung und finden Naturpoesie
und Wellenphysik. Ursprungslose Geräusche werden zu Klang und dann zur Melodie. Aus
abstraktem Ton, Ornament und digitalem Bildmuster entsteht eine audiovisuelle Harmonie, ein
Landschaftsbild, das sich in sich selbst zurückzieht und elektrisches Raunen an die Bildoberfläche
spült. Im Sonnenauf- und -untergang wird die Drehung der Erde zum inhumanen Endlosloop.
Reinhard Storz";elisabethritschard.ch;"Loop, 5:46";internet;cc-by;cat/138.00008.med.png;cat/138.00015.med.png;cat/138.00022.med.png
139;"Daniel  Marti";2017;(1972);Video_Vide_Void;Medienexperiment;"Drei verschiedene Fragmente elektronischer Bildmedien, als Endlos-schlaufen konzipiert mit unterschiedlicher Spieldauer und Rythmisierung der Bildabfolge von 1s Intervallen pro Bild, zu dem geläufigen Format von 25 Bilder pro Sekunde auf Video und letztlich im .gif-Format eine hypnotische Bildabfolge deren Inhalt mit dem blossen Bewusstsein des/der Betrachters/-in nicht mehr gänzlich identifizierbar wird, wo jedoch Bildzusammenhänge erschlossen werden können, die womöglich die Imagination ansprechen und eigene ""unbewusste"" Themeninhalte als Projektionsfläche zulassen. Allen drei Formaten gemeinsam ist der künstlerische Eingriff in das ursprüngliche Bildmaterial, mit zum Teil visuell starken Verfremdungen die keine Rückschlüsse mehr zulassen auf Ort und Begebenheit sowie Herkunft der Aufnahmen. Diese Anonymität, das Sichtbar machen ohne direkt identifizierbare Inhalte auszuweisen ist beabsichtigt. Die Referenz der Bilder ist dann auch weniger ein ästhetischer Diskurs (der Photographie) beispielsweise, sondern vielmehr Begebenheiten des Internets und deren Subjektivierungstechniken. Ein gemeinsam ästhetischer Referent dieser drei Fragmenten die als Installation gezeigt würden, ist demnach nicht nur ein Film wie Tony Conrad's ""Flickr"", auch wenn man das gerne als Einfluss verstehen darf, sondern das 1x1 Pixel Bild das Hacker gerne durch seine schiere ""Übersehbarkeit"" einsetzen (es existiert ist aber von blossem Auge manchmal auf trügerische Weise fast nicht zu erkennen) und dazu verwenden sich Zugang in fremde Systeme zu verschaffen. Ungefähr so stelle Ich mir vor, kann man bildliche Inhalte mittels Programmierung direkt an der ""Zensur"" unseres Bewusstseins vorbeischmuggeln.";wegorythm.net;"00:56 (loop), 00:19 (loop), 00:00 (endless)";hochschulnetz;cc-by;cat/139.00008.med.png;cat/139.00015.med.png;cat/139.00022.med.png
145;"Alexandra  Meyer";2016;(1984);Scar;Kunstvideo;"Gebrauchte Seifen werden nebeneinander auf einen schwarzen Untergrund gelegt. Aus dem Off hört man verschiedene Geschichten auf schweizerdeutsch zum Thema Narben. Ein englischer Untertitel ist dabei eingeblendet.";www.alexandrameyer.ch;"2:42 min.";sichtungsstation;cc-by;cat/145.00008.med.png;cat/145.00015.med.png;cat/145.00022.med.png
146;"Copa & Sordes / Birgit Krueger / Eric, Schmutz";2016;(1967/1962);Perception;Installation;"Die Installation «Perception» besteht aus zwei Videotableaux und einem Text.
￼Auf zwei Monitoren, die wie Bilder an der Wand hängen, sind zwei Stillleben mit Büchern zu sehen:
Virus of Perception öffnet den Blick in ein Forschunglabor, in welchem mit Mäusen und gentechnisch veränderten Viren an der Heilung von Blindheit geforscht wird.
Rats zeigt ein Vexierbild, auf dem Ratten im virtuellen und im realen Raum ihre Umgebung erforschen.
Wie bei barocken Stilleben lädt die Installation auf vielfältigen Ebenen zum Nachdenken ein, über den Drang nach Erkenntnisgewinn und den Wahrheitsgehalt menschlicher Wahrnehmung.";www.xcult,org/copaetsordes;60:00;;cc-by;cat/146.00008.med.png;cat/146.00015.med.png;cat/146.00022.med.png
147;"Anna Barbara  Wiesendanger";2017;(1952);Zeichnung/Loop;Animation;"Animierte Zeichnung / Loop";www.annawiesendanger.ch;"1 Minute bis endlos";internet;cc-by;cat/147.00008.med.png;cat/147.00015.med.png;cat/147.00022.med.png
148;"Brigitte  Bührer";2017;(1966);"Eine Schnecke steht vor einer Ente.";Kunstvideo;"Eine nass geputzte Schulwandtafel trocknet langsam ab. Dabei wird ein darauf geschriebener Text immer deutlicher sichtbar.
Schreibgeräusche, Kreide auf Wandtafel, sind zu hören.";www.brigitte-buehrer.kleio.com;1:00;internet;cc-by;cat/148.00008.med.png;cat/148.00015.med.png;cat/148.00022.med.png
149;"Anna  Altmeier";2015;(57);"C'était ici";Kunstvideo;"""Cétait ici"", 2015. Es handelt sich um ein Video, dass im Rahmen eines internationalen Kunstprojekts ""Fama Fame meets Art Lab # 2 in der ASC Gallery in London gezeigt wurde. Gruppenausstellung mit Kunstschaffenden aus ganz Europa. 
Ausgangspunkt dieser Arbeit ist eine kleine Malerei von mir (""C'était ici"", 2015, Mix auf Leinen, 20x30cm), die Bestandteil dieser Videoarbeit ist.In ""C'était ici"" geht es um Orte, die uns vertraut sind und ihre Geschichte in sich bergen, an denen wichtige Dinge in unserem Leben passiert sind. Wir verbinden mit ihnen Erinnerungen, die sich im Laufe der Zeit mit Fantasien mischen und ganz neue Geschichten entstehen lassen.";www.annaa.ch;1.32;hochschulnetz;cc-by;cat/149.00008.med.png;cat/149.00015.med.png;cat/149.00022.med.png
150;"Andreas  Sonder";"2014 / 2017";(1957);GLOGN;Kunstvideo;Fluss-Stillstand-Sille-Bewegung-Täuschung;;"11:30 endlos";mediathek;cc-by;cat/150.00008.med.png;cat/150.00015.med.png;cat/150.00022.med.png
153;"Dawn  Nilo";2014;(1968);"Um Kreis und Linie";Kunstvideo;"Um Kreis und Linie  draws a line through the  periphery. Both abstract and narrative, it is a poem in moving pictures that explores the geometry of the self.
Using visual rhythm and rhyme, it traverses the waking dream within time and space. The subject walks within the rich and mercurial colour and texture of 8mm film – within nowhere and forever.";"www.dawnnilo.com | www.thekingdomoffools.com";8:45;;cc-by;cat/153.00008.med.png;cat/153.00015.med.png;cat/153.00022.med.png
154;"Dawn  Nilo";2017-;(1968);"The Kingdom of Fools";Netzkunst;"The Kingdom of Fools is an ongoing online experimental film with trailers and episodes lasting from 1 to five minutes. It can be found on the website www.thekingdomoffools.com and temporarily on Facebook and Instagram (episodes will be deleted after a given time). The film seeks love in freedom and freedom in love through absurd naiveté that explore the boundaries of creativity and insanity. Please see www.thekingdomoffools for the film (in trailers and episodes).";"www.thekingdomoffools.com | www.dawnnilo.com";"1:00 - 5:00";;cc-by;cat/154.00008.med.png;cat/154.00015.med.png;cat/154.00022.med.png
155;"Samuel  Weniger";2015;(1986);"WE ARE OK";Essayfilm;"Die Schweizer Band «Europa» wird als Hochzeitsband auf die kleine Insel Nias eingeladen und findet sich plötzlich in der Metropolis von Hong Kong wieder. Eine filmische Reflexion über globales Reisefieber, interkontinentale Liebesbeziehungen, Kokosnüsse, Keyboards, das Internet und die Suche nach Exotik in einer längst durchfotografierten Welt.";www.wenigervideo.com;27:45;internet;cc-by;cat/155.00008.med.png;cat/155.00015.med.png;cat/155.00022.med.png
156;"Samuel  Weniger";2016;(1986);"I kissed your kiss on your girlfriend´s cheek, it was still wet.";Kunstvideo;"What if a man loves a man who doesn´t love men?
We (Dardan Zhegrova & Samuel Weniger) met during a bright summer painted in yellow, brown and white.
We really liked being together. But I like girls.
Dardan wrote a poem for me, ending with the words “I should begin telling you how i’m feeling.” So I began to film. 
We entered into a dreamy world of desire and unfulfillment, and the resulting emotions that surfaced combine poetry, images and sound to capture that moment of attraction and intimacy.";www.wenigervideo.com;08:08;hochschulnetz;cc-by;cat/156.00008.med.png;cat/156.00015.med.png;cat/156.00022.med.png
157;"Jonas  Bischof";2017;(1985);Jahrmarkt;"Handy Video";"Impressionen eines menschenleeren Jahrmarkts, gefilmt mit einem Samsung GT-B2710 Mobiltelefon. Montiert durch drücken des Pause-Knopfs. Ein Relikt der Vergangenheit sowohl auf formaler Ebene, wie auch im Bildinhalt: Aus der Zeit gefallene Artefakte.";;"01:50 (loop)";internet;cc-by;cat/157.00010.med.png;cat/157.00019.med.png;cat/157.00028.med.png
158;"Yamu  Wang";"2014 / 2017";(1986);"Re. Let me know what you think";Installation;"This work draws from a personal experience of standing in front of a defective green light, and reflects upon various decisions, regarding form and content, that an artist can take and should take in order to make an art piece. The voiceover addresses the audience directly, inviting people to think about the relation between daily life and art.   

This video clip was first shot in 2014 by an iPhone and re-edited in 2017. 

As installation, the image will be projected on a wall or on a screen, and played in loop. Besides this projection, there will be a number of iPhones with headphones available to the audiences. Through the iPhones, the audiences can hear the audio track and read the translation in sync with the film projection.";"https://vimeo.com/229121341 (password: Passtwort)";4:07;;cc-by;cat/158.00008.med.png;cat/158.00015.med.png;cat/158.00022.med.png
161;"Myrien  Barth";2017;(1989);"Der Geschmack von Zeit";Kunstvideo;"Es ist dieser Moment und Zustand, wenn man einfach Zeit hat. Eine Art Zufriedenheit, ein Stillstand, eine Auszeit, ein Innehalten im Moment, eine gewisse Unaufgeregtheit, eine Einfachheit. Zugleich auch eine gewisse Melancholie umgibt diese Ruhe, wenn rundherum die Effizienz und Schnelligkeit weitergeht.";www.myrienbarth.ch;"5:45 Loop";sichtungsstation;cc-by;cat/161.00008.med.png;cat/161.00015.med.png;cat/161.00022.med.png
162;"Valerie  Keller";2016;(1989);"Auf den Spuren der Rolies";Dokumentation/Dokumentarfilm;"""Auf den Spuren der Rolies"" ist ein Dokumentarfilm über das Phänomen der Rolies, eine imaginierte Subkultur der Zukunft.  

Die Rolies, eine Art Extremsportler der Zukunft, begeben sich in die „Alte Welt“ (ein historisch informiertes, rekonstruiertes Heute), die uns bekannte physische Realität. Hier kann für sie neuerdings nichts mehr rückgängig gemacht werden, weder der physische Verlust eines Fingers noch eine getane Handlung oder Aussage, die sich unwiderruflich durch das Reagieren der Mitmenschen auf die eigene Identität einschreibt. Dieses Unwiderrufliche, das uns heute selbstverständlich erscheint, ist für die Rolies eine gesuchte Herausforderung. 

Durch das fortwährende Zusammenleben bestimmter Menschen an einem bestimmten Ort, werden (verzerrte) soziale Wirkungsgeflechte unter die Lupe genommen: So teilen sich die Rolies aus historischen Zeiten entlehnte klare Rollen mit gewissen sozialen Aufgaben zu, durch die hindurch sie nicht nur ein wohliges Gefüge sondern auch sich selber konstruieren, und auf das Handeln anderer einwirken können. Ein Spiel mit Macht und Identität und der konstanten Möglichkeit, in jedem Moment die Rolle zu wechseln. Die Rolies verhandeln in einer Art Rückkoppelung heutige menschliche Verhaltensweisen aus einer zukünftigen Sicht, und legen optimistische Zukunftsvisionen auf den Tisch, in welchen gegenwärtige Probleme gelöst wurden und arbeiten überfüssig geworden ist.";https://www.facebook.com/search/top/?q=milena%20keller%20%26%20valerie%20keller&ref=eyJzaWQiOiIwLjg3OTM2OTMzNjg4MzE0OTciLCJxcyI6IkpUVkNKVEl5Yldsc1pXNWhKVEl3YTJWc2JHVnlKVEl3SlRJMkpUSXdkbUZzWlhKcFpTVXlNR3RsYkd4bGNpVXlNaVUxUkEiLCJndiI6ImJlZTA5ZjkzZmE3MzJjZmE1OWExY2I2ZDlmNDUwZDM4OTI0MjRlNDkiLCJlbnRfaWRzIjpbXX0;22:00;hochschulnetz;cc-by;cat/;cat/;cat/
163;"Myrien  Barth";2016;(1989);"Fragen und Fische";Essayfilm;"Ich wurde einmal von einem Goldfisch erdrückt und bin dann aufgewacht.
«Was bedeutet für dich Glück?» Die Frage führt durch eigene und fremde Gedanken zu einem Gefühl welches in sich so flüchtig, nicht fassbar und zu Beginn schwer in Worte zu formulieren ist. Ein Kribbeln im Bauch nach dem Mineralwasser, ein freudiges Gefühl, Zufriedenheit oder doch einfach Ruhe?
Ich reise alleine durch Japan. Das Tagebuch und das Medium Video als Arbeitsmethode, um das Alltägliche und Gefundene zu verdichten. Momente und Beobachtungen rücken in den Vordergrund.";www.myrienbarth.ch;"11:38 Loop";sichtungsstation;cc-by;cat/163.00008.med.png;cat/163.00015.med.png;cat/163.00022.med.png
170;"Lena  Lapschina";2015;(1965);Runtime;Installation;"In Lena Lapschina's two-channel video installation ""Runtime"", a character is moving with great haste. It does so for minutes, for hours, for days. There's no aim in sight, not even a fata morgana. Synchronously a timepiece slowly but surely is wandering across the scene.
While at first glance the character seems to be driven by customary stress and inner conflicts, it turns out that the piece is tackling the more sensitive issues of modern societies.
If the attire of the character is any indication, it's about civilization at large, which in the eyes of many people is at stake these days.";www.LAPSCHINA.com;02:00;mediathek;cc-by;cat/170.00009.med.png;cat/170.00017.med.png;cat/170.00025.med.png
171;"Jürgen  Buchinger";2015-2016;(1986);"Der Gläservorwurf";Essayfilm;"SchauspielerInnen sprechen Auszüge aus Goethes Ballade „Erlkönig“, mit der Anweisung, die im Kontext des Gedichtes hervorgerufenen Emotionen zu portraitieren. Da die sprachliche Verankerung durch die Aufnahme auf 16 mm Film ohne Ton wegfällt, fügt sich die durch Mimik und Gestik transportierte Emotion für die BetrachterInnen in den durch die Montage mit Zwischenbildern suggerierten Kontext ein und wird dahingehend umgedeutet. Was zunächst noch Angst und Hilflosigkeit des Knabens vor des Vaters (gespieltem?) Unverständnis war, offenbart in der Situation im Film ähnliche diskursive Machtverhältnisse, die aber in einer sonst scheinbar gleichwertigen Partnerschaft ausgetragen werden.
Der Film wurde im Nachhinein mit einer Vertonung des Erlkönigs für solo Piano unterlegt. Durch den Verlust des Textes wird auch hier die Emotion unmittelbar aus der Musik erfahrbar, was wiederum die Transposition in einen neuen Kontext erlaubt, wo die Musik das bildliche Geschehen stützt.";;5:09;hochschulnetz;cc-by;cat/171.00008.med.png;cat/171.00015.med.png;cat/171.00022.med.png
174;"Christelle  Becholey Besson";2016;(1985);"Wild like a snail";Kunstvideo;"Video installation, one channel, color, no sound.
If you allow it, this hypnotic video produces an illusion of suspended time. Wild like a snail is designed like a sort of still life or vanity. The snails are crawling slowly on my laptop, so slowly that you almost wonder: Is it just photography?";www.christelleb.ch;"Loop of 22 min. and 33 sec.";internet;cc-by-nc;cat/;cat/;cat/
175;"Mimi  von Moos";2017;(1969);Nosotros;Dokumentation/Dokumentarfilm;"Das Video enstand im Rahmen des Projektes „Printed in Cuba“, das von der Basler Künstlerin Margarit Lehmann initiiert und organisiert wurde. Sechs Künstler_innen aus Kuba, acht aus der Schweiz, und vier aus den USA sind im Frühling 2017 für 10 Tage im „Taller experimental de la Gràffica“ in Havanna, Kuba zusammen gekommen, um den Versuch zu unternehmen, etwas gemeinsam zu schaffen. Etwas das über eine gemeinsame Ausstellung individueller Arbeiten hinausgeht; eine künstlerische Arbeit, ein Konzept, das im Kollektiv entsteht.
Die Werkstatt war der Raum des Geschehens, der Raum der Begegnung und der Raum, in dem möglicherweise etwas ganz Neues, bisher Unbekanntes entstehen würde. Der Film ist ganz auf diesen Raum fokussiert, den man im Video nicht sehen kann. Stattdessen berichten die Teilnehmenden, wie es ihnen dort ergeht.";mimivonmoos.net;"41min. 44 sec";mediathek;cc-by;cat/175.00008.med.png;cat/175.00015.med.png;cat/175.00022.med.png
176;"Nesa  Gschwend";2017;(1959);"Living Fabrics - Women";Dokumentation/Dokumentarfilm;"Von Januar - März 2017 reiste ich zusammen mit Social Workers von CESCI (Centre for Socio- Cultural Interaction Madurai, Tamil Nadu, India) durch verschiedene Dörfer und  Slums in Tamil Nadu. An 16 verschiedenen Orten beteiligten sich mehr wie 500 Personen an dem Projekt. Das Video zeigt einen Ausschnitt aus dem gesamten Projekt. An sechs verschiedenen Orten treffen wir vor allem Frauen und ihre Kinder.
Auf einem teppichartigen Objekt wurde mit Nadeln, Scheren, Garn und Stoffen ein Ort eingerichtet. Gebrauchte Kleider, die auch von den Beteiligten mitgebracht werden konnten, wurden durch Schneiden – Reissen – Auftrennen usw. auseinandergenommen und aufgestickt. Im Zentrum steht der Austausch untereinander. Kleinere Kinder übten das Schneiden, ältere Personen gaben Anweisungen, erzählten Geschichten zu den Kleidern, von ihrem Dorf, den Familien. Textilien sind Lebensgrundlagen und sind oft verbunden mit persönlichen Erlebnissen und Bedeutungen, die auch in dieses Projekt eingeflossen sind. Es gibt keine Person und keine Kultur, die nicht einen Bezug zu Textilien hat.
Die Textilien - die beteiligten Personen - die Begegnungen - der Austausch - die Orte kreieren zusammen ein lebendes Gewebe.";nesagschwend.ch;"29.35 Min";hgk;cc-by;cat/176.00008.med.png;cat/176.00015.med.png;cat/176.00022.med.png
177;"Josef  Loretan";2015;(1962);"Der Klang des Simplon";Essayfilm;"„Ein Motiv bewegt sich: Das Panorama des Simplongebietes aus einem Stich des 19. Jahrhunderts transformiert Josef Loretan in eine klingende plastische Form, eine Glocke, die nun selbst in Bewegung gerät und durch das Gebiet, dessen Form sie bildete, wandert. Vom Zweidimensionalen des Stiches über die dreidimensionale Ausformung wandert das Motiv als Performance durch die Landschaft und wird schliesslich filmisch in Bild und Ton festgehalten. Loretan untersucht damit nicht nur die verschiedenen Medien, vielmehr kann er sie assoziativ mit der Geschichte des Simplongebietes und dessen Bedeutung als Handels- und Verkehrsweg aufladen. Selten wird auf derart spielerische und trotzdem tiefgründige Art und Weise künstlerisch mit unterschiedlichen Medien gearbeitet, so dass diese in einem dichten Netz verbunden werden. Daneben versteht es Loretan die Bedeutung eines Berggebiets auf der Achse zwischen Süd und Nord als Naturgebiet wie auch als geschichtsträchtiger Ort ins Bewusstsein zu rücken.“";http://www.ovra-archives.com/eMP/eMuseumPlus?service=ExternalInterface&module=artist&objectId=100002247&viewType=detailView;"24 Min.";sichtungsstation;cc-by;cat/177.00008.med.png;cat/177.00015.med.png;cat/177.00022.med.png
178;"Lea  Fröhlicher";2017;(1986);Wachzustand;Kunstvideo;"Glasscherben im Wind, Motoren, Vögel, Maschinen – die Audiospur im ersten Teil des Videos erzählt, weckt in den Betrachtenden Assoziationen und Bilder, die über das tatsächliche Bild hinausgehen. Von ruhenden Aufnahmen weiter zu Bewegung. Fliegen leiten über zu werkenden Menschen.
Wachzustand ist der erste Teil eines Langzeitprojektes. Es handelt sich dabei um eine künstlerische Dokumentation der kulturellen Zwischennutzung auf dem Areal der ehemaligen Zellulose-Fabrik in Attisholz (SO). Einst waren Zellulose-Mitarbeitende am Werk – heute sind es Kunst- und Kulturschaffende, durch die das Gelände fortlaufend Veränderungen, neue Bedeutungen und Funktionen erfährt. Das Video ist als Zwischenschritt, als in sich geschlossener Einblick zu verstehen - nicht als abgeschlossenes Werk - die künstlerische Dokumentation wird von mir fortlaufend erweitert und zeigt sich in verschiedenen Formen (u.a. Video, Audio-Installation, Szenische Führungen) an verschiedenen Orten.";"Eigene ist in Bearbeitung. Unter folgendem Link findet ihr Infos/Arbeiten: http://www.sokultur.ch/html/kulturschaffende/detail.html?q=lea+fr%F6hlicher&qs=all&qs2=1&artist_id=4712 ";4:45;hochschulnetz;cc-by;cat/178.00008.med.png;cat/178.00015.med.png;cat/178.00022.med.png
180;"Parvez  Imam";2015;(1967);"Switzerland (15 x 20)";Kunstvideo;"Dominant notions tend to push for singularity of experience and suppress the possibilities of experiencing and accepting plurality. This video examines the word ‘Switzerland’, that has a strong, pre-defined imagery / index. During a short visit to Basel in 2014, my circumstances kept me mostly confined. I recreate my experience with 15 second slices, shot every 20 minutes, from morning till night.";www.parvezimam.net;"4 min";hochschulnetz;cc-by-nc;cat/180.00008.med.png;cat/180.00015.med.png;cat/180.00022.med.png
